"RequiredServices","DisplayName"
"System.ServiceProcess.ServiceController[]","AarSvc_cd8b2e"
"System.ServiceProcess.ServiceController[]","ADPSvc"
"System.ServiceProcess.ServiceController[]","ALG"
"System.ServiceProcess.ServiceController[]","ApHidMonitorService"
"System.ServiceProcess.ServiceController[]","AppHostSvc"
"System.ServiceProcess.ServiceController[]","AppIDSvc"
"System.ServiceProcess.ServiceController[]","Appinfo"
"System.ServiceProcess.ServiceController[]","AppMgmt"
"System.ServiceProcess.ServiceController[]","AppReadiness"
"System.ServiceProcess.ServiceController[]","AppVClient"
